DATASET_BINARY
SEPARATOR COMMA
DATASET_LABEL,Contig edge
Burkholderia pseudomallei|CSPA01000019|c1,-1
Burkholderia pseudomallei MSHR983|JQDI01000008|c9,-1
Burkholderia pseudomallei MSHR3951|JPVA01000006|c3,-1
Burkholderia pseudomallei|CSLJ01000006|c1,-1
Burkholderia pseudomallei Pasteur 52237|CP009898|c8,-1
Burkholderia pseudomallei|CFYP01000019|c1,-1
Burkholderia pseudomallei|CSNO01000019|c1,-1
Burkholderia pseudomallei HBPUB10303a|CP008893|c4,-1
Burkholderia pseudomallei|CFVU01000004|c2,-1
Burkholderia pseudomallei|CSLO01000008|c1,-1
Burkholderia pseudomallei ABCPW 30|JPVF01000008|c1,-1
Burkholderia pseudomallei NAU20B-16|CP004004|c8,-1
Burkholderia pseudomallei|CSLE01000006|c2,-1
Burkholderia pseudomallei|CHFI01000018|c1,-1
Burkholderia pseudomallei|CGFJ01000020|c1,-1
Burkholderia pseudomallei|CIGV01000018|c1,-1
Burkholderia pseudomallei|CIBE01000022|c1,-1
Burkholderia pseudomallei|CSLD01000008|c2,-1
Burkholderia pseudomallei BPC006|CP003782|c9,-1
Burkholderia pseudomallei|CIGK01000007|c1,-1
Burkholderia pseudomallei|CSQC01000019|c1,-1
Burkholderia pseudomallei|CP008782|c5,-1
Burkholderia pseudomallei|CIKM01000012|c2,-1
Burkholderia pseudomallei|CIAW01000001|c4,-1
Burkholderia pseudomallei|CFWJ01000023|c1,-1
Burkholderia pseudomallei BDU 2|JPVG01000009|c5,-1
Burkholderia pseudomallei|CFVI01000002|c4,-1
Burkholderia pseudomallei MSHR3965|CP009152|c9,-1
Burkholderia pseudomallei|CFZI01000018|c1,-1
Burkholderia pseudomallei MSHR4375|JPVI01000007|c4,-1
Burkholderia pseudomallei|CSLC01000019|c1,-1
Burkholderia pseudomallei|CFXG01000017|c1,-1
Burkholderia pseudomallei|CSLK01000020|c1,-1
Burkholderia pseudomallei|CFNN01000002|c1,-1
Burkholderia pseudomallei|CSKG01000003|c2,-1
Burkholderia pseudomallei 576|CP008778|c11,-1
Burkholderia pseudomallei|CFVM01000011|c1,-1
Burkholderia pseudomallei|CSKV01000024|c1,-1
Burkholderia pseudomallei|CSLA01000023|c1,-1
Burkholderia pseudomallei B03|CP009150|c7,-1
Burkholderia pseudomallei|JYBK01000026|c1,-1
Burkholderia pseudomallei 1106a|CP000573|c9,-1
Burkholderia pseudomallei|CSLL01000022|c1,-1
Burkholderia pseudomallei|CFXB01000018|c1,-1
Burkholderia pseudomallei|CSNM01000020|c1,-1
Burkholderia pseudomallei|CHFE01000004|c2,-1
Burkholderia pseudomallei ABCPW 91|JPUY01000005|c4,-1
Burkholderia pseudomallei|CGHT01000019|c1,-1
Burkholderia pseudomallei|CFXU01000017|c1,-1
Burkholderia pseudomallei|CSMS01000020|c1,-1
Burkholderia pseudomallei MSHR465J|JPZW01000007|c4,-1
Burkholderia pseudomallei|CSNB01000018|c1,-1
Burkholderia pseudomallei 576|ACCE01000001|c3,-1
Burkholderia pseudomallei|CFZB01000021|c1,-1
Burkholderia pseudomallei|JQIL01000006|c4,-1
Burkholderia pseudomallei|CSKF01000004|c1,-1
Burkholderia pseudomallei|CSSB01000018|c1,1
Clostridium papyrosolvens DSM 2782|ACXX02000024|c1,1
Streptomyces auratus AGR0001|AJGV01000169|c1,1
Burkholderia gladioli|JPGG01000010|c1,1
bongkrekic_acid,-1
Bacillus amyloliquefaciens|LGYP01000013|c2,-1
Bacillus subtilis|CP009684|c14,-1
Streptococcus pneumoniae|CQZO01000002|c1,-1
Bacillus amyloliquefaciens|LJAU01000002|c1,1
Bacillus amyloliquefaciens|JZDI01000018|c1,1
Bacillus sp 916|AFSU01000053|c1,1
Bacillus sp LK7|LDUN01000025|c1,1
Bacillus velezensis|LGAT01000016|c1,1
Bacillus velezensis|JYGH01000015|c1,1
Bacillus amyloliquefaciens|LJDI01000011|c1,1
Bacillus amyloliquefaciens|JUDU01000022|c1,1
Bacillus velezensis|LGAU01000015|c1,1
Bacillus subtilis|JPYY01000001|c1,-1
Bacillus amyloliquefaciens EBL11|JCOC01000003|c4,-1
Bacillus amyloliquefaciens Y2|CP003332|c11,-1
Bacillus velezensis|CP011347|c3,-1
Bacillus amyloliquefaciens LFB112|CP006952|c11,-1
Bacillus amyloliquefaciens KHG19|CP007242|c10,-1
Bacillus velezensis TrigoCor1448|CP007244|c10,-1
Bacillus velezensis UCMB5033|HG328253|c11,-1
Bacillus velezensis|JTKJ02000012|c1,-1
Bacillus amyloliquefaciens|CP010556|c10,-1
Bacillus velezensis CAU B946|HE617159|c11,-1
Bacillus velezensis UCMB5036|HF563562|c10,-1
Bacillus amyloliquefaciens CC178|CP006845|c11,-1
Bacillus velezensis FZB42|AJ634062|c1,-1
Bacillus velezensis|LHCC01000001|c3,-1
Bacillus amyloliquefaciens subsp plantarum str FZB42|CP000560|c11,-1
Bacillus velezensis M27|AMPK01000007|c1,-1
Bacillus sp BH072|CP009938|c13,-1
Bacillus velezensis|CP009679|c11,-1
Bacillus amyloliquefaciens EGD-AQ14|AVQH01000012|c2,-1
Bacillus velezensis NAU-B3|HG514499|c3,-1
Bacillus velezensis SQR9|CP006890|c11,-1
Bacillus velezensis UCMB5113|HG328254|c10,-1
Bacillus velezensis|CP011686|c10,-1
Bacillus subtilis|CP009749|c11,-1
Bacillus subtilis|CP009611|c10,-1
Bacillus velezensis YAU B9601-Y2|HE774679|c11,-1
Bacillus velezensis|CP011346|c12,-1
Bacillus velezensis NJN-6|CP007165|c11,-1
Bacillus amyloliquefaciens|CP011278|c10,-1
difficidin,-1
Bacillus sp Pc3|CP010406|c11,-1
Bacillus sp 5B6|AJST01000001|c10,-1
Bacillus amyloliquefaciens IT-45|CP004065|c3,-1
Bacillus velezensis|LJJY01000002|c1,-1
Bacillus velezensis AS433|CP003838|c11,-1
Bacillus velezensis|JXAM01000022|c1,-1
Bacillus velezensis|LGAT01000001|c1,-1
Bacillus sp LK7|LDUN01000002|c7,1
Bacillus amyloliquefaciens|LJAU01000005|c1,1
Bacillus amyloliquefaciens|CYHP01000085|c1,1
Streptococcus pneumoniae|CQZO01000005|c1,1
Bacillus velezensis|JYGH01000020|c3,1
Bacillus amyloliquefaciens|CYHL01000064|c1,1
Bacillus velezensis|LGAU01000005|c1,1
Bacillus amyloliquefaciens|JZDI01000005|c1,1
Bacillus amyloliquefaciens|JUDU01000026|c1,1
Bacillus amyloliquefaciens|JQNZ01000018|c1,1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000004|c4,1
Bacillus amyloliquefaciens|LJDI01000008|c1,1
Paenibacillus sp MAEPY1|AWUJ01000024|c1,1
Paenibacillus sp MAEPY2|AWUK01000050|c1,1
Geobacter uraniireducens Rf4|CP000698|c3,-1
Clostridium papyrosolvens DSM 2782|ACXX02000007|c1,1
Bacillus atrophaeus C89|AJRJ01000086|c1,1
Bacillus amyloliquefaciens|LGYP01000009|c2,1
Bacillus amyloliquefaciens|CYHL01000089|c1,1
Bacillus amyloliquefaciens|JUDU01000055|c1,1
Bacillus atrophaeus C89|AJRJ01000085|c1,1
Bacillus sp 916|AFSU01000083|c1,1
Bacillus subtilis|CYHS01000004|c1,1
Bacillus cereus|CYHI01000673|c1,1
Streptococcus pneumoniae|CLUP01000018|c1,-1
Bacillus sp 916|AFSU01000081|c1,1
Bacillus amyloliquefaciens|CYHL01000016|c1,1
Bacillus velezensis|CP011347|c7,-1
Bacillus amyloliquefaciens XH7|CP002927|c7,-1
Bacillus velezensis TrigoCor1448|CP007244|c6,-1
Bacillus velezensis M27|AMPK01000010|c2,-1
Bacillus velezensis|CP009679|c7,-1
Bacillus sp Pc3|CP010406|c2,-1
Bacillus velezensis FZB42|AJ634060|c1,-1
Bacillus subtilis|CP009748|c5,-1
Bacillus amyloliquefaciens KHG19|CP007242|c6,-1
Bacillus amyloliquefaciens|CYHP01000093|c1,-1
Bacillus velezensis|LHCC01000002|c1,-1
Bacillus sp LK7|LDUN01000002|c3,-1
Bacillus velezensis CAU B946|HE617159|c7,-1
Bacillus amyloliquefaciens LFB112|CP006952|c7,-1
Bacillus subtilis|CP009749|c7,-1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000002|c2,-1
Streptococcus pneumoniae|CQZO01000001|c4,-1
Bacillus velezensis|CP011686|c6,-1
Bacillus amyloliquefaciens|JQNZ01000020|c5,-1
Bacillus velezensis NAU-B3|HG514499|c7,-1
Bacillus velezensis|CP011346|c8,-1
Bacillus velezensis SQR9|CP006890|c7,-1
Bacillus amyloliquefaciens subsp plantarum str FZB42|CP000560|c7,-1
Bacillus velezensis|JTKJ02000015|c1,-1
Bacillus velezensis UCMB5033|HG328253|c7,-1
Bacillus velezensis NJN-6|CP007165|c7,-1
Bacillus amyloliquefaciens LL3|CP002634|c5,-1
Bacillus amyloliquefaciens TA208|CP002627|c7,-1
Bacillus amyloliquefaciens|LJAU01000018|c2,-1
bacillaene_Bamy,-1
Bacillus amyloliquefaciens|JZDI01000001|c2,-1
Bacillus sp BH072|CP009938|c9,-1
Bacillus velezensis|JYGH01000014|c5,-1
Bacillus velezensis|LJJY01000001|c2,-1
Bacillus subtilis|CP009684|c9,-1
Bacillus velezensis UCMB5036|HF563562|c6,-1
Bacillus velezensis YAU B9601-Y2|HE774679|c7,-1
Bacillus subtilis|CP009611|c6,-1
Bacillus amyloliquefaciens EBL11|JCOC01000001|c2,-1
Bacillus velezensis|JXAM01000028|c1,-1
Bacillus velezensis AS433|CP003838|c7,-1
Bacillus velezensis|LGAT01000004|c1,-1
Bacillus amyloliquefaciens CC178|CP006845|c7,-1
Bacillus amyloliquefaciens EGD-AQ14|AVQH01000001|c2,-1
Bacillus amyloliquefaciens|LJDI01000007|c1,-1
Bacillus amyloliquefaciens|CP011278|c6,-1
Bacillus velezensis UCMB5113|HG328254|c6,-1
Bacillus amyloliquefaciens|CP010556|c6,-1
Bacillus amyloliquefaciens IT-45|CP004065|c7,-1
Bacillus subtilis|JPYY01000002|c1,-1
Bacillus amyloliquefaciens DSM 7|FN597644|c5,-1
Bacillus amyloliquefaciens Y2|CP003332|c7,-1
Bacillus sp 5B6|AJST01000001|c6,-1
Bacillus velezensis|LGAU01000004|c1,-1
bacillaene_Bsub,-1
Bacillus subtilis|CYHQ01000031|c1,1
Bacillus amyloliquefaciens UASWS BA1|AWQY01000013|c1,1
Bacillus velezensis|JXAM01000042|c1,1
Bacillus amyloliquefaciens|JQNZ01000008|c1,1
Streptomyces cyaneogriseus subsp noncyanogenus|CP010849|c23,-1
Bacillus amyloliquefaciens|CYHP01000052|c1,1
Bacillus amyloliquefaciens|CYHL01000056|c1,1
Paenibacillus sp FSL P4-0081|CP009280|c2,-1
Bacillus atrophaeus C89|AJRJ01000087|c1,1
Bacillus cereus BAG5X1-1|AHDJ01000065|c1,1
Bacillus amyloliquefaciens|JMEG01000008|c1,-1
Bacillus subtilis|CYHS01000094|c1,1
Bacillus amyloliquefaciens|JUDU01000056|c1,1
Paenibacillus polymyxa|JMIQ01000008|c1,1
Bacillus amyloliquefaciens|JMEG01000006|c1,-1
Pelosinus fermentans JBW45|CP010978|c10,-1
Bacillus cereus BAG5X1-1|AHDJ01000066|c1,1
Pelosinus fermentans JBW45|CP010978|c4,-1
Streptomyces himastatinicus ATCC 53653|GG657754|c30,-1
corallopyronin,-1
myxopyronin,-1
Streptomyces auratus AGR0001|AJGV01000165|c1,1
Streptomyces sp YIM 56141|JX014302|c1,-1
Streptomyces anulatus|JPZP01000007|c14,-1
Streptomyces acidiscabies|JPPY01000213|c1,-1
Streptomyces europaeiscabiei|JPPV01000201|c1,-1
Streptomyces sp Root1295|LMEL01000021|c2,-1
9-methylstreptimidone,-1
Streptomyces himastatinicus ATCC 53653|FR878059|c1,-1
Streptomyces sp Root63|LMGX01000018|c2,-1
Streptomyces sp NRRL B-1568|JZWZ01000008|c1,-1
Streptomyces sp MNU77|JXUQ01000001|c30,-1
Streptomyces sp 769|CP003987|c29,-1
Streptomyces himastatinicus ATCC 53653|GG657754|c13,-1
cycloheximide,-1
Streptomyces himastatinicus ATCC 53653|9-methylstreptimidone|FR878059,-1
Burkholderia gladioli|CP009322|c8,-1
Burkholderia gladioli|JPGG01000016|c7,-1
Pseudomonas syringae pv aceris str M302273|AEAO01000064|c1,1
Pseudomonas syringae pv aptata str DSM 50252|AEAN01000377|c1,1
Pseudomonas syringae pv pisi str 1704B|AEAI01000264|c1,1
Streptomyces sp W007|AGSW01000116|c1,-1
Streptomyces chattanoogensis|LGKG01000155|c1,1
Streptomyces platensis subsp rosaceus|GQ274953|c1,1
Streptomyces lydicus A02|CP007699|c4,1
dorrigocin_migrastatin,1
Streptomyces amphibiosporus|GQ274954|c1,1
Candidatus Profftella armatura|CP012591|c2,-1
Saccharomonospora xinjiangensis XJ-54|JH636049|c16,1
Scytonema sp PCC 10023|KR857271|c1,1
tolytoxin,1
luminaolid,-1
Planktothrix paucivesiculata PCC 9631|KR857272|c1,-1
misakinolide,-1
Candidatus Entotheonella sp ex Theonella swinhoei|KR857273|c1,-1
Stigmatella aurantiaca Sg a15|FR854394|c1,-1
rhizopodin,-1
Myxococcus stipitatus DSM 14675|CP004025|c22,-1
Myxococcus stipitatus DSM 14675|CP004025|c23,-1
Herbaspirillum sp CF444|AKJW01000011|c1,-1
Candidatus Endobugula sertula|EF032014|c1,1
Candidatus Endobugula sertula|DQ889941|c1,1
bryostatin,1
Pseudomonas sp 2663|FR901464|HM047288,-1
Burkholderia sp FERM BP-3421|KJ461964|c1,-1
thailanstatin,-1
Burkholderia thailandensis|JX307851|c1,-1
Burkholderia thailandensis MSMB121|CP004096|c2,-1
Pseudomonas sp 2663|HM047288|c1,-1
Burkholderia thailandensis MSMB43|JH692066|c1,-1
Burkholderia sp 2002721687|CP009548|c1,-1
FR901464,-1
Candidatus Profftella armatura|CP003468|c2,-1
symbiont bacterium of Paederus fuscipes Bacteria|AY328023|c1,1
diaphorin,-1
pederin,1
onnamide,1
psymberin,1
symbiont bacterium of Theonella swinhoei Bacteria|AY688304|c1,1
Nostoc sp Peltigera membranacea cyanobiont|GQ979609|c1,1
nosperin,1
Thioploca ingrica|AP014633|c5,-1
Gynuella sunshinyii YC6258|CP007142|c7,-1
Leptolyngbya sp PCC 7375|ALVN01000014|c2,-1
phormidolide,-1
oocydin_Smar,-1
oocydin_Ddad,-1
Chromobacterium violaceum|JYGI01000030|c2,-1
Ralstonia solanacearum CFBP2957|FP885907|c3,-1
Pseudomonas sp Os17|AP014627|c2,-1
Pseudomonas protegens Pf-5|CP000076|c4,-1
Ralstonia solanacearum PSI07|FP885891|c2,-1
Paraburkholderia endofungorum|HE963103|c1,1
rhizoxins,1
Paraburkholderia rhizoxinica HKI 454|FR687359|c3,1
Paraburkholderia rhizoxinica|AM411073|c1,1
etnangien,-1
sorangicin,-1
Sorangium cellulosum|HM584908|c1,-1
Candidatus Magnetomorum sp HK-1|JPDT01000569|c2,-1
Candidatus Magnetomorum sp HK-1|JPDT01000569|c1,-1
Pseudoalteromonas sp SANK 73390|FN689524|c1,-1
Pseudoalteromonas luteoviolacea 2ta16|AUSV01000137|c1,1
thiomarinol,-1
mupirocin,-1
Pseudomonas fluorescens|AF318063|c1,1
Pseudomonas sp BRG-100|JPRX01000001|c3,-1
Bacillus velezensis SQR9|CP006890|c2,-1
Sporomusa ovata DSM 2662|ASXP01000007|c1,-1
Bacillus velezensis|CP011347|c12,-1
Streptomyces griseoflavus Tu4000|GG657758|c21,-1
SIA7248,-1
Streptomyces sp A7248|JQ269659|c1,1
Paenibacillus sp FSL R5-808|ASPT01000003|c1,-1
Paenibacillus mucilaginosus KNP414|CP002869|c2,-1
Paenibacillus mucilaginosus 3016|CP003235|c2,-1
Paenibacillus mucilaginosus K02|CP003422|c2,-1
Paenibacillus vortex V453|ADHJ01000037|c1,-1
Candidatus Magnetomorum sp HK-1|JPDT01000312|c1,1
Ralstonia solanacearum Po82|CP002820|c3,1
Ralstonia solanacearum P673|JALO01000221|c1,1
blood disease bacterium R229|FR854071|c2,-1
elansolid_Cpin,-1
elansolid_Csan,-1
Bacillus sp FJAT-27238|LGJF01000001|c3,-1
Brevibacillus formosus|LDCN01000001|c6,-1
Paenibacillus sp ICGEB2008|AMQU01000019|c1,1
Pseudomonas sp GM17|AKJU01000004|c1,1
Brevibacillus sp Leaf182|LMPN01000030|c1,-1
Paenibacillus polymyxa|JYCW01000008|c1,1
Pelosinus fermentans JBW45|CP010978|c1,-1
Gynuella sunshinyii YC6258|CP007142|c11,-1
Gynuella sunshinyii YC6258|CP007142|c10,-1
Burkholderia thailandensis E444|CP004118|c2,-1
Massilia sp NR 4-1|CP012201|c6,-1
Burkholderia thailandensis|CP008915|c6,-1
Burkholderia thailandensis H0587|CP004090|c6,-1
thailandamide,-1
Burkholderia thailandensis 2002721723|CP004098|c8,-1
Burkholderia thailandensis 2002721643|CP009602|c5,-1
Burkholderia thailandensis USAMRU Malaysia #20|CP004384|c3,-1
Burkholderia thailandensis E254|CP004382|c4,-1
Burkholderia thailandensis MSMB59|CP004386|c12,-1
Burkholderia thailandensis E264|CP008786|c3,-1
Burkholderia thailandensis Phuket 4W-1|AQQJ01000003|c10,-1
Burkholderia thailandensis 34|CP010018|c10,-1
Burkholderia thailandensis E264|CP000085|c7,-1
