bgc_id	training_status	clade_nr	ks_nr
CP006871|c8	F	1	2
CP011346|c7	F	6	11
JPHB01000021|c2	F	2	3
CGFR01000019|c1	F	8	10
JPNQ01000114|c1	F	2	2
LGRW01000002|c2	F	10	16
JRGO01000053|c1	F	3	3
CSKM01000001|c1	F	8	11
CSRV01000004|c1	F	3	3
JRFM01000118|c1	F	3	3
CSNO01000022|c1	F	3	3
AKKB01000147|c1	F	2	4
CWJA01000006|c1	F	8	11
JMTJ01000003|c7	F	10	16
HG328253|c7	F	9	14
HG328253|c6	F	5	11
AJRJ01000085|c1	F	4	5
CSPX01000018|c1	F	8	10
CYHJ01000033|c1	F	10	16
JQDH01000131|c1	F	5	6
JYGH01000020|c3	F	5	6
AOGU01000017|c2	F	6	8
AHBX01000119|c1	F	8	11
ACNH01000126|c1	F	3	4
FR854071|c2	F	6	6
CFXD01000024|c1	F	3	3
CP009484|c9	F	8	11
CP009796|c4	F	10	16
AJ586576|c1	T	2	2
U11039|c1	F	6	8
JQNZ01000018|c1	F	5	6
JNLV01000112|c1	F	3	3
JREN01000004|c2	F	8	11
JPQK01000002|c11	F	3	3
CP000571|c9	F	8	11
CSLS01000018|c1	F	8	10
CP000571|c4	F	2	3
CP008835|c10	F	3	3
JMCC02000002|c1	F	3	4
CSKG01000024|c1	F	3	3
JPNX02000001|c6	F	2	3
JPQM01000003|c2	F	2	3
JPQM01000003|c7	F	8	11
JCOC01000014|c1	F	5	11
CP011966|c1	F	1	2
CSKC01000022|c1	F	2	3
CFXD01000019|c1	F	8	10
FN667742|c6	F	6	8
CFVP01000023|c1	F	2	3
JF412274|c2	F	3	3
AXBT01000013|c1	F	4	5
JQDN01000072|c1	F	2	3
CSKR01000019|c1	F	3	3
CP009156|c4	F	3	3
JQFO01000048|c1	F	3	3
JZXP01000034|c2	F	4	6
JQEE01000021|c1	F	3	3
CGFJ01000020|c1	F	8	10
CP009943|c1	F	2	3
JQDD01000009|c2	F	8	11
CIGS01000017|c1	F	8	10
CWJD01000018|c1	F	3	3
CAUC01000006|c3	F	10	16
CYHL01000089|c1	F	5	6
LGYP01000013|c2	F	4	5
JQDB01000017|c1	F	3	3
JH692066|c1	F	10	13
CP003782|c4	F	2	3
CP003782|c9	F	8	11
CSKE01000004|c2	F	8	11
APNS01000004|c12	F	7	10
JNOW01000071|c2	F	3	3
CP006250|c7	F	13	17
CFVX01000002|c4	F	8	11
CIAU01000004|c2	F	8	11
CSKK01000001|c1	F	8	11
AKJW01000011|c1	F	3	5
CP008710|c4	F	2	3
CP008710|c3	F	7	10
JPVM01000030|c2	F	3	4
JMMV01000046|c1	F	3	3
ASPS01000047|c1	F	1	3
CP009909|c3	F	9	13
AY426537|c1	T	3	3
CP005973|c1	F	5	6
CGFE01000019|c1	F	2	3
CP009269|c11	F	7	10
CH899760|c2	F	2	3
JMCB01000001|c1	F	6	11
DQ065771|c1	T	11	18
CP009898|c3	F	3	3
GG657754|c13	F	5	6
JPQL01000005|c5	F	8	11
ATJY01000024|c1	F	3	3
CFXG01000021|c1	F	3	3
LGKL01000032|c4	F	8	11
CP007165|c7	F	9	14
CP007165|c6	F	6	11
AP008955|c9	F	11	14
CSLD01000008|c2	F	8	11
CP007165|c1	F	1	3
AP008955|c5	F	1	2
JPVC01000005|c5	F	3	3
JYBG01000042|c4	F	2	2
CGEY01000002|c3	F	3	3
CP008763|c10	F	2	3
CP012591|c2	F	5	5
AVQH01000012|c2	F	11	14
JQHU01000025|c1	F	3	3
CYHP01000031|c1	F	5	11
JXUQ01000001|c30	F	5	5
AP012496|c6	F	10	16
JPVH01000006|c5	F	8	11
CP004025|c22	F	11	19
CP004025|c23	F	6	10
LFME01000001|c1	F	2	4
CP009150|c3	F	3	3
CIJK01000021|c1	F	3	3
CP009150|c7	F	8	11
JNFQ01000003|c1	F	2	4
CP009210|c10	F	8	11
JQDE01000165|c1	F	6	8
CP009943|c9	F	8	10
CP008893|c4	F	8	11
CSKN01000023|c1	F	3	3
CWJF01000020|c1	F	3	3
JNUY01000203|c1	F	2	3
JQDL01000049|c1	F	3	3
LDUN01000016|c1	F	2	2
CSRJ01000019|c1	F	8	10
CSKF01000004|c1	F	8	11
AOGU01000014|c1	F	3	3
CGFU01000024|c1	F	3	3
ATAY01000026|c1	F	1	3
CP011278|c6	F	9	14
CSKP01000018|c1	F	3	3
JSYO01000057|c1	F	6	10
CP009272|c11	F	3	3
CP009272|c16	F	4	5
LMLM01000033|c1	F	6	11
AVPH01000086|c1	F	2	2
CGEY01000004|c2	F	8	11
LDUW01000007|c1	F	10	16
CIJK01000018|c1	F	8	10
CSLG01000005|c2	F	8	11
CSKZ01000006|c1	F	8	11
CP002905|c4	F	10	16
AOCC01000020|c1	F	1	3
AP009049|c2	F	1	2
CP003977|c10	F	2	3
JMIQ01000008|c1	F	3	3
JQDM01000096|c1	F	2	3
CWJD01000020|c1	F	8	10
AOBR01000090|c1	F	1	3
JQHQ01000119|c1	F	3	3
JPVX01000003|c1	F	10	16
CP007244|c10	F	10	11
JOTW01000050|c5	F	2	3
CP003977|c14	F	6	9
CSLI01000001|c2	F	8	11
CP003329|c5	F	10	16
CP011802|c3	F	10	16
LN831776|c4	F	1	3
KM222819|c1	F	3	5
AMQU01000019|c1	F	5	5
CSQF01000021|c1	F	8	10
AEAI01000264|c1	F	3	3
CSMH01000001|c5	F	3	3
AHJD01000209|c1	F	2	2
LAJX01000078|c1	F	2	2
LDCN01000001|c2	F	1	2
LDCN01000001|c6	F	10	13
JZDI01000007|c1	F	2	2
LGAU01000004|c1	F	9	14
CFZI01000018|c1	F	8	10
AHTD01000020|c1	F	1	3
CSQC01000023|c1	F	3	3
CSLN01000025|c1	F	2	3
JRFK01000111|c1	F	3	3
CP007806|c5	F	4	5
HM071004|c1	T	6	14
CIBB01000002|c1	F	3	3
JYFL01000003|c3	F	10	16
CP004025|c7	F	1	2
CSSW01000018|c1	F	8	10
JPQN01000004|c10	F	2	3
CFVO01000001|c1	F	8	11
LDUN01000025|c1	F	6	6
CP004378|c13	F	2	3
CP012109|c9	F	4	8
CP003788|c5	F	1	3
AAHO01000060|c1	F	4	5
CGFE01000001|c1	F	8	11
CP009708|c6	F	2	3
ACNI01000155|c1	F	1	3
CIGV01000018|c1	F	8	10
LJJY01000001|c2	F	9	14
JPWQ01000080|c1	F	3	3
CBTB010000186|c1	F	3	3
CP006929|c6	F	13	17
CGHT01000004|c1	F	3	3
JQDN01000137|c1	F	3	4
ABCS01000133|c1	F	4	5
JQDJ01000071|c1	F	3	3
CGFK01000005|c1	F	8	11
CP009160|c11	F	5	7
CP009164|c5	F	8	11
ASPX01000069|c1	F	1	6
CP009164|c9	F	3	3
JPNU01000055|c1	F	3	3
JSZF01000085|c1	F	1	2
CP007142|c12	F	6	11
CP007142|c10	F	13	38
CP007142|c11	F	4	10
CP009537|c14	F	9	10
CYHO01000023|c1	F	3	7
JPVI01000007|c4	F	8	11
CP007142|c18	F	6	7
KC771276|c1	F	1	2
JXAM01000039|c1	F	5	11
JOTS01000017|c1	F	3	3
CP006872|c3	F	1	4
APNR01000004|c1	F	3	4
JQFO01000044|c1	F	2	2
JYJF01000008|c2	F	3	5
CP006881|c5	F	10	13
JPNP01000072|c1	F	3	3
LAUB02000100|c1	F	1	2
JOTT01000028|c1	F	3	4
AROY02000065|c1	F	5	6
CP003219|c13	F	5	14
CP001614|c4	T	7	11
JQDB01000014|c1	F	3	3
JQDC01000005|c10	F	8	11
CP001614|c3	F	3	4
CYHS01000004|c1	F	6	7
CSLJ01000021|c1	F	3	3
CSKI01000024|c1	F	3	3
CP008754|c1	F	6	6
CGFK01000003|c2	F	3	3
CFZT01000019|c1	F	8	10
JQII01000001|c7	F	2	3
JQII01000001|c3	F	8	11
LK936443|c4	F	3	3
LK936443|c8	F	8	11
CGEX01000006|c1	F	8	11
CP008705|c7	F	8	10
CGHG01000001|c1	F	8	11
CP008778|c11	F	8	11
CFWC01000023|c1	F	3	3
CP009160|c2	F	3	3
AFSU01000083|c1	F	2	2
LGAT01000003|c3	F	5	11
CSKQ01000002|c2	F	8	11
CP009909|c8	F	1	4
CSJU01000001|c4	F	8	11
CP003259|c1	F	2	3
LJPO01000137|c1	F	4	6
CP003259|c3	F	2	3
CP009800|c5	F	1	9
CP011115|c5	F	10	16
JPZW01000008|c5	F	3	3
AY328023|c1	T	10	10
JSZE01000137|c1	F	3	3
CP002047|c42	F	9	12
CP011512|c3	F	1	4
JPVM01000024|c1	F	3	3
CSOW01000003|c3	F	3	3
CP003783|c5	F	10	13
JQGX01000025|c1	F	6	8
ABCS01000005|c1	F	2	4
JPRF01000534|c1	F	1	2
JQDK01000077|c1	F	3	3
AXBT01000024|c1	F	10	13
CP002869|c2	F	7	10
CP007242|c10	F	10	10
CP012201|c6	F	7	11
CP012201|c7	F	2	2
ASPS01000080|c1	F	1	3
CFVL01000024|c1	F	3	3
CP011686|c5	F	5	11
CP011686|c6	F	9	14
CSKW01000004|c2	F	8	11
CSKY01000005|c1	F	8	11
AF484556|c1	T	5	7
CGHC01000019|c1	F	3	3
JPUZ01000004|c9	F	3	3
JPUZ01000004|c4	F	8	11
LDUN01000002|c7	F	5	6
CSKW01000019|c1	F	3	3
AFSU01000081|c1	F	7	10
LDUN01000002|c3	F	9	14
LDUN01000002|c2	F	5	11
JMNA01000003|c2	F	10	16
AFSU01000026|c1	F	2	2
CFVN01000006|c1	F	2	3
CP010268|c10	F	9	13
CFVN01000001|c1	F	8	11
ACCE01000001|c3	F	7	11
LGKF01001480|c1	F	3	3
CP004098|c11	F	2	3
CSNQ01000023|c1	F	3	3
LGYP01000009|c1	F	3	5
CP000525|c2	F	8	10
LGYP01000009|c2	F	7	8
LGKL01000026|c1	F	2	3
CP003468|c2	T	6	6
CP003468|c1	T	6	6
CFNN01000002|c1	F	8	11
JOTY01000132|c1	F	2	2
CP002820|c3	F	6	7
ABIB01000015|c1	F	8	13
CP011686|c10	F	11	14
CSKB01000005|c1	F	8	11
JQEH01000046|c3	F	3	3
CP004098|c8	F	11	17
KR857273|c1	T	17	19
JPZX01000010|c1	F	3	3
AJST01000001|c5	F	5	11
AJST01000001|c6	F	9	14
AAYX01000006|c1	F	2	2
JWLZ01000199|c1	F	1	3
JQFP01000034|c2	F	3	4
CP010849|c23	F	4	4
CSRL01000019|c1	F	8	10
AWQY01000013|c1	F	5	5
CP002599|c3	F	7	13
AKVJ01000015|c1	F	2	2
DQ013294|c1	T	7	10
JQDK01000047|c1	F	3	4
JPVJ01000009|c6	F	3	3
JPRX01000001|c3	F	6	8
LGAU01000002|c1	F	2	2
JUDU01000113|c1	F	1	2
JUDU01000056|c1	F	5	7
CP008722|c1	F	8	10
CH899679|c2	F	2	3
CSSV01000021|c1	F	3	3
CSLK01000023|c1	F	2	3
BAVZ01000001|c1	F	1	3
CIKM01000012|c2	F	8	10
JQDF01000080|c1	F	2	3
AKJU01000004|c1	T	6	9
CSLF01000022|c1	F	3	3
JPQJ01000004|c3	F	8	11
CP009588|c2	F	8	10
JPQJ01000004|c8	F	3	3
AHBZ02000147|c1	F	4	4
JZWZ01000075|c1	F	3	3
CP008727|c6	F	2	3
CSKE01000003|c1	F	3	3
CSLI01000005|c1	F	3	3
AEDD01000016|c1	F	1	2
ASXP01000007|c1	F	3	3
CP002183|c5	F	10	16
CP010052|c5	F	10	16
AXBT01000062|c2	F	1	2
CSNM01000020|c1	F	8	10
CFXK01000021|c1	F	3	3
JPVE01000004|c1	F	3	4
JPQH01000002|c6	F	3	3
CP008759|c4	F	2	3
JQ975876|c1	F	2	2
AXDS01000036|c1	F	3	3
CFYP01000023|c1	F	3	3
CXWE01000001|c1	F	8	12
BA000045|c4	F	1	5
CYHP01000085|c1	F	5	6
CIAU01000022|c1	F	3	3
JRFL01000009|c4	F	8	11
JYGH01000015|c1	F	6	6
GQ979609|c1	T	8	9
JPPV01000201|c1	F	5	5
AHJD01000153|c1	F	2	2
CP008782|c5	F	8	11
CP008912|c11	F	3	3
JRFM01000126|c2	F	8	11
LGAU01000005|c1	F	6	6
CSKT01000024|c1	F	3	3
AGEN01000003|c1	F	1	3
AMPK01000007|c1	F	10	14
CSKD01000019|c1	F	2	3
CP008786|c3	F	11	17
CFWJ01000023|c1	F	8	10
CSMS01000020|c1	F	8	10
CP009684|c15	F	2	2
CP009684|c14	F	5	7
AGVS01000588|c1	F	3	3
AMZN01000028|c1	F	9	13
CFWE01000012|c1	F	8	11
CSKK01000021|c1	F	2	3
CFKW01000023|c1	F	3	3
JFCB01000021|c1	F	6	10
CFVQ01000005|c1	F	8	11
AHRI01000027|c1	F	1	3
CP009163|c1	F	8	11
CP009163|c6	F	3	3
CP010978|c10	F	3	5
CP008779|c4	F	8	11
JQHT01000002|c1	F	3	4
JRFK01000095|c1	F	6	7
CP003987|c29	F	4	5
CP003838|c11	F	11	14
JH636049|c1	F	5	9
CSPM01000023|c1	F	3	3
AFSU01000070|c1	F	5	5
CGHB01000002|c5	F	8	11
AHGS01001228|c1	F	2	2
HG514499|c7	F	9	14
HG514499|c3	F	10	14
LGAR01000025|c1	F	5	6
HG514499|c8	F	5	11
CFWT01000023|c1	F	3	3
LJRH01000102|c1	F	5	6
FR878059|c1	T	5	5
JXAM01000042|c1	F	5	8
CIAW01000001|c4	F	8	11
LITM01000006|c1	F	1	2
CP003235|c2	F	5	7
CP004378|c8	F	3	5
CIJT01000019|c1	F	8	10
CP002906|c4	F	10	16
CIAS01000020|c1	F	3	3
JQIJ01000004|c6	F	5	7
CGHC01000005|c2	F	8	10
CH899683|c4	F	2	3
CGFW01000024|c1	F	3	3
JH636049|c16	F	2	2
EF032014|c1	F	11	17
CSLE01000006|c2	F	8	11
CIJQ01000019|c1	F	8	10
AJ634061|c1	T	5	11
AHSV01000055|c1	F	1	3
AKIX01000103|c1	F	1	2
AFSU01000082|c1	F	1	2
CFWA01000001|c5	F	8	11
CSKA01000022|c1	F	2	3
APNR01000005|c1	F	3	3
CFWA01000005|c1	F	2	3
CP008910|c3	F	9	11
CP008910|c8	F	3	3
AHSI01000007|c1	F	1	3
AMQU01000007|c3	F	1	4
CYHL01000042|c1	F	1	3
FP885907|c3	F	13	16
JQEE01000011|c1	F	3	3
GU479979|c1	T	9	12
CHKR01000002|c4	F	8	11
JYCW01000008|c1	F	7	9
CSKO01000002|c1	F	8	11
ACXX02000005|c1	F	2	3
CSQP01000020|c1	F	8	10
CP008912|c6	F	8	11
CSLC01000019|c1	F	8	10
CP008891|c8	F	8	11
CYHL01000016|c1	F	6	7
CFZV01000023|c1	F	3	3
CP007796|c1	F	12	15
CP001836|c3	F	3	4
CHFI01000018|c1	F	8	10
CP011882|c8	F	10	16
CHKY01000018|c1	F	8	10
JQHT01000069|c1	F	3	3
JALO01000221|c1	F	6	7
HQ215062|c1	F	1	2
JQFM01000061|c1	F	3	3
CP009684|c9	F	9	14
CP009684|c8	F	5	11
CHFE01000026|c1	F	3	3
AORV01000016|c1	F	2	3
AHJB01000324|c1	F	2	2
AJRJ01000086|c1	F	6	6
CYHL01000044|c1	F	5	11
CSKU01000004|c1	F	8	11
CP011522|c27	F	3	4
CFWL01000024|c1	F	3	3
JYCW01000004|c1	F	1	2
CP011346|c12	F	11	14
CP009269|c6	F	3	3
CSNQ01000019|c1	F	8	10
CHKY01000004|c1	F	3	3
CFWF01000023|c1	F	3	3
CP004043|c2	F	3	3
CFXP01000004|c3	F	3	3
JYBG01000049|c2	F	6	8
AGVS01000451|c1	F	2	2
CP011278|c10	F	11	14
JXAM01000028|c1	F	9	14
CP010406|c3	F	5	11
JQDE01000127|c1	F	2	3
CIAW01000021|c1	F	2	3
LM995447|c3	F	2	2
CP011347|c3	F	9	11
HM047288|c1	T	11	14
CBKC010000214|c1	F	2	2
BBLT01000001|c2	F	3	4
JYGH01000021|c1	F	2	2
KR857272|c1	T	15	18
CP004090|c6	F	11	17
CP002834|c4	F	3	3
CFWE01000020|c1	F	3	3
CP002834|c9	F	8	11
JPDT01000312|c1	F	8	16
AHDJ01000065|c1	F	3	3
CGFR01000002|c1	F	3	3
AHRR01000004|c1	F	1	3
CSRH01000023|c1	F	3	3
CYHI01000673|c1	F	6	7
JPVE01000007|c1	F	3	3
AHJC01000245|c1	F	2	2
JPVE01000007|c5	F	3	3
JQIK01000006|c5	F	8	11
CP011512|c10	F	8	11
CGHG01000024|c1	F	3	3
CSKS01000004|c1	F	8	11
JYBJ01000031|c2	F	6	8
CSPL01000022|c1	F	3	3
CFVT01000017|c1	F	3	3
JPGG01000010|c1	F	6	9
CP005969|c9	F	5	6
AOPZ01000159|c1	F	8	10
AAHO01000085|c1	F	1	2
CP011278|c5	F	6	11
AXDS01000040|c1	F	6	8
JQDF01000120|c1	F	3	4
CP007165|c11	F	11	14
AHRK01000037|c1	F	6	6
CGEW01000001|c1	F	8	11
JMEG01000006|c1	F	4	4
CIGS01000020|c1	F	3	3
CP010053|c5	F	10	13
AHRQ01000032|c1	F	5	9
JYGH01000014|c5	F	9	14
JYGH01000014|c4	F	5	11
LN681227|c6	F	6	8
AP014627|c2	F	13	16
JQEH01000045|c2	F	6	9
ADHJ01000037|c1	F	5	7
CP003492|c5	F	10	16
JPVL01000011|c3	F	2	3
JPWS01000073|c5	F	6	8
CP008782|c10	F	2	3
CH899695|c1	F	1	2
CIGK01000007|c1	F	8	11
JQDI01000008|c9	F	8	11
AB283030|c1	T	7	8
JQDI01000008|c5	F	2	3
CFVZ01000021|c1	F	3	3
JQDJ01000057|c1	F	3	4
LJDI01000008|c1	F	5	6
AMRL01000010|c1	F	8	11
JQGY01000058|c1	F	3	3
CIJT01000024|c1	F	3	3
LFOC01000002|c2	F	10	16
CIAY01000001|c1	F	8	11
CP003969|c4	F	6	7
CP004369|c14	F	3	5
CQZO01000005|c1	F	6	6
LJDI01000011|c1	F	6	6
JPVL01000019|c3	F	8	11
CP001699|c6	F	1	2
CM000833|c13	F	3	3
ASZB01000003|c1	F	4	8
CYHS01000094|c1	F	4	5
AHRQ01000034|c1	F	1	3
CP009556|c1	F	2	3
FN597644|c5	F	9	14
JUEB01000029|c1	F	6	8
JOTS01000003|c1	F	4	4
CP007142|c7	F	12	18
CGEZ01000024|c1	F	3	3
LFCW01000013|c1	F	3	4
CSKH01000018|c1	F	2	3
AP012336|c1	F	1	3
CP008785|c4	F	2	3
CP004386|c12	F	11	17
CLUP01000018|c1	F	8	12
AHSQ01000006|c1	F	1	3
JXLQ01000013|c2	F	10	16
CP008915|c9	F	2	3
CP008915|c6	F	10	14
CP011534|c4	F	10	16
CP008783|c5	F	3	3
JX307851|c1	T	10	13
CP009546|c8	F	2	3
JQGZ01000025|c1	F	3	3
JPQL01000005|c10	F	2	3
CSSV01000018|c1	F	8	10
CIAS01000006|c1	F	8	11
CP010066|c4	F	8	10
LN881739|c6	F	1	2
CSKX01000018|c1	F	3	3
CFZL01000023|c1	F	3	3
JTKJ02000015|c1	F	9	14
AHRD01000030|c1	F	1	3
CP009156|c13	F	8	11
CP008917|c11	F	3	3
CSKN01000004|c2	F	8	11
CP008917|c16	F	3	4
CP009550|c9	F	8	11
CP009550|c4	F	2	3
JPRL01000001|c2	F	9	13
CP008778|c1	F	2	3
AHSW01000002|c1	F	1	3
CP009611|c10	F	11	14
AUSV01000113|c1	F	4	4
JOTZ01000088|c1	F	3	3
CSMH01000017|c1	F	8	10
JQHU01000104|c1	F	3	4
CGEZ01000020|c1	F	8	10
CSLA01000021|c1	F	3	3
CSNO01000019|c1	F	8	10
CP011347|c7	F	8	12
CP011347|c8	F	5	10
CP000011|c4	F	3	5
CP000011|c6	F	2	3
JTHO01000016|c1	F	3	3
JPVM01000013|c1	F	5	5
JXSK01000001|c3	F	2	6
CHFD01000021|c1	F	3	3
ACXX02000007|c2	F	3	3
LJJY01000002|c1	F	10	14
ACXX02000007|c1	F	3	4
CFVS01000022|c1	F	3	3
CSQP01000025|c1	F	3	3
LGKJ01000145|c1	F	2	3
CP008917|c1	F	3	3
AVOY01000221|c1	F	4	7
AHSW01000064|c1	F	5	9
CP002047|c3	F	3	3
CSQB01000019|c1	F	8	10
HG794546|c3	F	7	12
AJ634060|c1	T	9	14
JPNV01000094|c2	F	3	4
LJRK01000113|c1	F	5	6
LDZV01000001|c11	F	4	7
JTHG01000227|c1	F	2	2
CGFB01000023|c1	F	3	3
JYBI01000013|c3	F	2	2
CP009288|c3	F	8	15
