	Leafname	GenbkID	KS_index	ClusterID	Clade
2223	CGFR01000019|c1|17291-34696|+|ERS008832_04634|polyketide_synthase|CFU56441|831-1252|KS1|KS4	CGFR01000019	KS4	c1	Clade_82
2224	CGFR01000019|c1|34693-49776|+|ERS008832_04635|putative_polyketide_synthase_PksJ|CFU56445|1175-1600|KS1|KS8	CGFR01000019	KS8	c1	clade_not_conserved
2225	CGFR01000019|c1|34693-49776|+|ERS008832_04635|putative_polyketide_synthase_PksJ|CFU56445|2718-3156|KS2|KS9	CGFR01000019	KS9	c1	Clade_12
2226	CGFR01000019|c1|3622-17301|+|ERS008832_04633|polyketide_synthase%2C_type_I|CFU56437|3153-3582|KS2|KS2	CGFR01000019	KS2	c1	Clade_60
2227	CGFR01000019|c1|3622-17301|+|ERS008832_04633|polyketide_synthase%2C_type_I|CFU56437|4017-4448|KS3|KS3	CGFR01000019	KS3	c1	Clade_54
2228	CGFR01000019|c1|3622-17301|+|ERS008832_04633|polyketide_synthase%2C_type_I|CFU56437|797-1221|KS1|KS1	CGFR01000019	KS1	c1	Clade_8
2229	CGFR01000019|c1|49760-54451|+|ERS008832_04636|polyketide_synthase|CFU56448|958-1386|KS1|KS10	CGFR01000019	KS10	c1	Clade_60
2230	CGFU01000020|c1|108914-126352||ERS008783_04359|polyketide_synthase|CFU69579|2333-2762|KS2|KS5	CGFU01000020	KS5	c1	Clade_62
2231	CGFU01000020|c1|108914-126352||ERS008783_04359|polyketide_synthase|CFU69579|3352-3773|KS3|KS6	CGFU01000020	KS6	c1	Clade_82
2232	CGFU01000020|c1|108914-126352||ERS008783_04359|polyketide_synthase|CFU69579|5089-5479|KS4|KS7	CGFU01000020	KS7	c1	Clade_80
2233	CGFU01000020|c1|108914-126352||ERS008783_04359|polyketide_synthase|CFU69579|831-1252|KS1|KS4	CGFU01000020	KS4	c1	Clade_82
2234	CGFU01000020|c1|126342-140021||ERS008783_04360|polyketide_synthase%2C_type_I|CFU69582|3153-3582|KS2|KS2	CGFU01000020	KS2	c1	Clade_60
2235	CGFU01000020|c1|126342-140021||ERS008783_04360|polyketide_synthase%2C_type_I|CFU69582|4017-4448|KS3|KS3	CGFU01000020	KS3	c1	Clade_54
2236	CGFU01000020|c1|126342-140021||ERS008783_04360|polyketide_synthase%2C_type_I|CFU69582|797-1221|KS1|KS1	CGFU01000020	KS1	c1	Clade_8
2237	CGFU01000020|c1|89159-93850||ERS008783_04357|polyketide_synthase|CFU69573|958-1386|KS1|KS10	CGFU01000020	KS10	c1	Clade_60
2238	CGFU01000020|c1|93834-108917||ERS008783_04358|putative_polyketide_synthase_PksJ|CFU69576|1175-1600|KS1|KS8	CGFU01000020	KS8	c1	clade_not_conserved
2239	CGFU01000020|c1|93834-108917||ERS008783_04358|putative_polyketide_synthase_PksJ|CFU69576|2718-3156|KS2|KS9	CGFU01000020	KS9	c1	Clade_12
2240	CGFU01000024|c1|44679-57065||ERS008783_04738|polyketide_synthase|CFU70840|171-593|KS1|KS2	CGFU01000024	KS2	c1	clade_not_conserved
2241	CGFU01000024|c1|44679-57065||ERS008783_04738|polyketide_synthase|CFU70840|2180-2592|KS2|KS3	CGFU01000024	KS3	c1	Clade_47
2242	CGFU01000024|c1|62589-71126||ERS008783_04744|multifunctional_polyketide-peptide_syntase|CFU70856|917-1361|KS1|KS1	CGFU01000024	KS1	c1	Clade_2
2243	CGFW01000019|c1|17297-34702|+|ERS008844_04166|polyketide_synthase|CFU77170|2322-2751|KS2|KS5	CGFW01000019	KS5	c1	Clade_62
2244	CGFW01000019|c1|17297-34702|+|ERS008844_04166|polyketide_synthase|CFU77170|3341-3762|KS3|KS6	CGFW01000019	KS6	c1	Clade_82
2245	CGFW01000019|c1|17297-34702|+|ERS008844_04166|polyketide_synthase|CFU77170|5078-5468|KS4|KS7	CGFW01000019	KS7	c1	Clade_80
2246	CGFW01000019|c1|17297-34702|+|ERS008844_04166|polyketide_synthase|CFU77170|831-1252|KS1|KS4	CGFW01000019	KS4	c1	Clade_82
2247	CGFW01000019|c1|34699-49782|+|ERS008844_04167|putative_polyketide_synthase_PksJ|CFU77171|1175-1600|KS1|KS8	CGFW01000019	KS8	c1	clade_not_conserved
2248	CGFW01000019|c1|34699-49782|+|ERS008844_04167|putative_polyketide_synthase_PksJ|CFU77171|2718-3156|KS2|KS9	CGFW01000019	KS9	c1	Clade_12
2249	CGFW01000019|c1|3628-17307|+|ERS008844_04165|polyketide_synthase%2C_type_I|CFU77169|3153-3582|KS2|KS2	CGFW01000019	KS2	c1	Clade_60
2250	CGFW01000019|c1|3628-17307|+|ERS008844_04165|polyketide_synthase%2C_type_I|CFU77169|4017-4448|KS3|KS3	CGFW01000019	KS3	c1	Clade_54
2251	CGFW01000019|c1|3628-17307|+|ERS008844_04165|polyketide_synthase%2C_type_I|CFU77169|797-1221|KS1|KS1	CGFW01000019	KS1	c1	Clade_8
2252	CGFW01000019|c1|49766-54457|+|ERS008844_04168|polyketide_synthase|CFU77172|958-1386|KS1|KS10	CGFW01000019	KS10	c1	Clade_60
2253	CGFW01000024|c1|47641-56178|+|ERS008844_04737|multifunctional_polyketide-peptide_syntase|CFU78355|917-1361|KS1|KS1	CGFW01000024	KS1	c1	Clade_2
2254	CGFW01000024|c1|61702-74088|+|ERS008844_04743|polyketide_synthase|CFU78367|171-593|KS1|KS2	CGFW01000024	KS2	c1	clade_not_conserved
2255	CGFW01000024|c1|61702-74088|+|ERS008844_04743|polyketide_synthase|CFU78367|2180-2592|KS2|KS3	CGFW01000024	KS3	c1	Clade_47
2256	CGHA01000005|c1|108838-126660||ERS013353_01968|putative_polyketide_synthase_PksL|CFV69633|2379-2808|KS2|KS5	CGHA01000005	KS5	c1	Clade_62
2257	CGHA01000005|c1|108838-126660||ERS013353_01968|putative_polyketide_synthase_PksL|CFV69633|3446-3867|KS3|KS6	CGHA01000005	KS6	c1	Clade_82
2258	CGHA01000005|c1|108838-126660||ERS013353_01968|putative_polyketide_synthase_PksL|CFV69633|5193-5583|KS4|KS7	CGHA01000005	KS7	c1	Clade_80
2259	CGHA01000005|c1|108838-126660||ERS013353_01968|putative_polyketide_synthase_PksL|CFV69633|886-1307|KS1|KS4	CGHA01000005	KS4	c1	Clade_82
2260	CGHA01000005|c1|126650-140446||ERS013353_01969|polyketide_synthase|CFV69635|3172-3601|KS2|KS2	CGHA01000005	KS2	c1	Clade_60
2261	CGHA01000005|c1|126650-140446||ERS013353_01969|polyketide_synthase|CFV69635|4056-4487|KS3|KS3	CGHA01000005	KS3	c1	Clade_54
2262	CGHA01000005|c1|126650-140446||ERS013353_01969|polyketide_synthase|CFV69635|797-1221|KS1|KS1	CGHA01000005	KS1	c1	Clade_8
2263	CGHA01000005|c1|148354-149598|+|ERS013353_01977|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CFV69650|9-414|KS1|KS1b	CGHA01000005	KS1b	c1	Clade_89
2264	CGHA01000005|c1|89068-93720||ERS013353_01966|polyketide_synthase|CFV69630|944-1372|KS1|KS10	CGHA01000005	KS10	c1	Clade_60
2265	CGHA01000005|c1|93704-108841||ERS013353_01967|putative_polyketide_synthase_PksJ|CFV69631|1175-1600|KS1|KS8	CGHA01000005	KS8	c1	clade_not_conserved
2266	CGHA01000005|c1|93704-108841||ERS013353_01967|putative_polyketide_synthase_PksJ|CFV69631|2727-3165|KS2|KS9	CGHA01000005	KS9	c1	Clade_12
2267	CGHA01000021|c1|47688-56186|+|ERS013353_05117|multifunctional_polyketide-peptide_syntase|CFV77580|910-1354|KS1|KS1	CGHA01000021	KS1	c1	Clade_2
2268	CGHA01000021|c1|61691-74092|+|ERS013353_05123|polyketide_synthase|CFV77601|171-593|KS1|KS2	CGHA01000021	KS2	c1	clade_not_conserved
2269	CGHA01000021|c1|61691-74092|+|ERS013353_05123|polyketide_synthase|CFV77601|2186-2598|KS2|KS3	CGHA01000021	KS3	c1	Clade_47
2270	CGHB01000002|c5|738204-739448||ERS012326_01393|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CFV71259|9-414|KS1|KS1b	CGHB01000002	KS1b	c5	Clade_89
2271	CGHB01000002|c5|748782-762425|+|ERS012326_01402|polyketide_synthase%2C_type_I|CFV71275|3169-3598|KS2|KS2	CGHB01000002	KS2	c5	Clade_60
2272	CGHB01000002|c5|748782-762425|+|ERS012326_01402|polyketide_synthase%2C_type_I|CFV71275|4005-4436|KS3|KS3	CGHB01000002	KS3	c5	Clade_54
2273	CGHB01000002|c5|748782-762425|+|ERS012326_01402|polyketide_synthase%2C_type_I|CFV71275|797-1221|KS1|KS1	CGHB01000002	KS1	c5	Clade_8
2274	CGHB01000002|c5|762415-780207|+|ERS012326_01403|polyketide_synthase|CFV71278|2334-2763|KS2|KS5	CGHB01000002	KS5	c5	Clade_62
2275	CGHB01000002|c5|762415-780207|+|ERS012326_01403|polyketide_synthase|CFV71278|3443-3864|KS3|KS6	CGHB01000002	KS6	c5	Clade_82
2276	CGHB01000002|c5|762415-780207|+|ERS012326_01403|polyketide_synthase|CFV71278|5183-5573|KS4|KS7	CGHB01000002	KS7	c5	Clade_80
2277	CGHB01000002|c5|762415-780207|+|ERS012326_01403|polyketide_synthase|CFV71278|845-1266|KS1|KS4	CGHB01000002	KS4	c5	Clade_82
2278	CGHB01000002|c5|780204-787154|+|ERS012326_01404|polyketide_synthase|CFV71280|1175-1600|KS1|KS8	CGHB01000002	KS8	c5	clade_not_conserved
2279	CGHB01000002|c5|787145-795409|+|ERS012326_01405|polyketide_synthase|CFV71282|454-892|KS1|KS9	CGHB01000002	KS9	c5	Clade_12
2280	CGHB01000002|c5|795393-800078|+|ERS012326_01406|polyketide_synthase|CFV71284|955-1383|KS1|KS10	CGHB01000002	KS10	c5	Clade_60
2281	CGHB01000023|c1|44805-57215||ERS012326_04942|polyketide_synthase|CFV83293|171-593|KS1|KS2	CGHB01000023	KS2	c1	clade_not_conserved
2282	CGHB01000023|c1|44805-57215||ERS012326_04942|polyketide_synthase|CFV83293|2195-2607|KS2|KS3	CGHB01000023	KS3	c1	Clade_47
2283	CGHB01000023|c1|62856-71354||ERS012326_04949|multifunctional_polyketide-peptide_syntase|CFV83312|910-1354|KS1|KS1	CGHB01000023	KS1	c1	Clade_2
2284	CGHC01000005|c2|279465-280709||ERS012352_02850|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CFV81788|9-414|KS1|KS1b	CGHC01000005	KS1b	c2	Clade_89
2285	CGHC01000005|c2|288627-302354|+|ERS012352_02858|polyketide_synthase|CFV81821|3146-3575|KS2|KS2	CGHC01000005	KS2	c2	Clade_60
2286	CGHC01000005|c2|288627-302354|+|ERS012352_02858|polyketide_synthase|CFV81821|4033-4464|KS3|KS3	CGHC01000005	KS3	c2	Clade_54
2287	CGHC01000005|c2|288627-302354|+|ERS012352_02858|polyketide_synthase|CFV81821|797-1221|KS1|KS1	CGHC01000005	KS1	c2	Clade_8
2288	CGHC01000005|c2|307772-320215|+|ERS012352_02862|polyketide_synthase|CFV81842|1650-2071|KS2|KS5	CGHC01000005	KS5	c2	Clade_82
2289	CGHC01000005|c2|307772-320215|+|ERS012352_02862|polyketide_synthase|CFV81842|3394-3784|KS3|KS6	CGHC01000005	KS6	c2	Clade_80
2290	CGHC01000005|c2|307772-320215|+|ERS012352_02862|polyketide_synthase|CFV81842|588-1017|KS1|KS4	CGHC01000005	KS4	c2	Clade_62
2291	CGHC01000005|c2|320212-335364|+|ERS012352_02863|putative_polyketide_synthase_PksJ|CFV81846|1175-1600|KS1|KS7	CGHC01000005	KS7	c2	clade_not_conserved
2292	CGHC01000005|c2|320212-335364|+|ERS012352_02863|putative_polyketide_synthase_PksJ|CFV81846|2729-3167|KS2|KS8	CGHC01000005	KS8	c2	Clade_12
2293	CGHC01000005|c2|335348-340009|+|ERS012352_02864|polyketide_synthase|CFV81851|947-1375|KS1|KS9	CGHC01000005	KS9	c2	Clade_60
2294	CGHC01000019|c1|23443-35847||ERS012352_04974|polyketide_synthase|CFV90510|171-593|KS1|KS2	CGHC01000019	KS2	c1	clade_not_conserved
2295	CGHC01000019|c1|23443-35847||ERS012352_04974|polyketide_synthase|CFV90510|2186-2598|KS2|KS3	CGHC01000019	KS3	c1	Clade_47
2296	CGHC01000019|c1|41374-49872||ERS012352_04980|multifunctional_polyketide-peptide_syntase|CFV90530|910-1354|KS1|KS1	CGHC01000019	KS1	c1	Clade_2
2297	CGHG01000001|c1|118116-119360|+|ERS012364_00069|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CFV80974|9-414|KS1|KS1b	CGHG01000001	KS1b	c1	Clade_89
2298	CGHG01000001|c1|58959-63611||ERS012364_00058|polyketide_synthase|CFV80923|944-1372|KS1|KS10	CGHG01000001	KS10	c1	Clade_60
2299	CGHG01000001|c1|63595-78714||ERS012364_00059|putative_polyketide_synthase_PksJ|CFV80927|1175-1600|KS1|KS8	CGHG01000001	KS8	c1	clade_not_conserved
2300	CGHG01000001|c1|63595-78714||ERS012364_00059|putative_polyketide_synthase_PksJ|CFV80927|2727-3165|KS2|KS9	CGHG01000001	KS9	c1	Clade_12
2301	CGHG01000001|c1|78711-96479||ERS012364_00060|polyketide_synthase|CFV80930|2376-2805|KS2|KS5	CGHG01000001	KS5	c1	Clade_62
2302	CGHG01000001|c1|78711-96479||ERS012364_00060|polyketide_synthase|CFV80930|3434-3855|KS3|KS6	CGHG01000001	KS6	c1	Clade_82
2303	CGHG01000001|c1|78711-96479||ERS012364_00060|polyketide_synthase|CFV80930|5175-5565|KS4|KS7	CGHG01000001	KS7	c1	Clade_80
2304	CGHG01000001|c1|78711-96479||ERS012364_00060|polyketide_synthase|CFV80930|883-1304|KS1|KS4	CGHG01000001	KS4	c1	Clade_82
2305	CGHG01000001|c1|96469-110208||ERS012364_00061|polyketide_synthase|CFV80935|3174-3603|KS2|KS2	CGHG01000001	KS2	c1	Clade_60
2306	CGHG01000001|c1|96469-110208||ERS012364_00061|polyketide_synthase|CFV80935|4037-4468|KS3|KS3	CGHG01000001	KS3	c1	Clade_54
2307	CGHG01000001|c1|96469-110208||ERS012364_00061|polyketide_synthase|CFV80935|797-1221|KS1|KS1	CGHG01000001	KS1	c1	Clade_8
2308	CGHG01000024|c1|47749-56247|+|ERS012364_04851|multifunctional_polyketide-peptide_syntase|CFV98261|910-1354|KS1|KS1	CGHG01000024	KS1	c1	Clade_2
2309	CGHG01000024|c1|61729-74133|+|ERS012364_04857|polyketide_synthase|CFV98284|171-593|KS1|KS2	CGHG01000024	KS2	c1	clade_not_conserved
2310	CGHG01000024|c1|61729-74133|+|ERS012364_04857|polyketide_synthase|CFV98284|2186-2598|KS2|KS3	CGHG01000024	KS3	c1	Clade_47
2311	CGHK01000020|c1|17297-34702|+|ERS008811_04408|polyketide_synthase|CFW24467|2322-2751|KS2|KS5	CGHK01000020	KS5	c1	Clade_62
2312	CGHK01000020|c1|17297-34702|+|ERS008811_04408|polyketide_synthase|CFW24467|3341-3762|KS3|KS6	CGHK01000020	KS6	c1	Clade_82
2313	CGHK01000020|c1|17297-34702|+|ERS008811_04408|polyketide_synthase|CFW24467|5078-5468|KS4|KS7	CGHK01000020	KS7	c1	Clade_80
2314	CGHK01000020|c1|17297-34702|+|ERS008811_04408|polyketide_synthase|CFW24467|831-1252|KS1|KS4	CGHK01000020	KS4	c1	Clade_82
2315	CGHK01000020|c1|34699-49782|+|ERS008811_04409|putative_polyketide_synthase_PksJ|CFW24471|1175-1600|KS1|KS8	CGHK01000020	KS8	c1	clade_not_conserved
2316	CGHK01000020|c1|34699-49782|+|ERS008811_04409|putative_polyketide_synthase_PksJ|CFW24471|2718-3156|KS2|KS9	CGHK01000020	KS9	c1	Clade_12
2317	CGHK01000020|c1|3628-17307|+|ERS008811_04407|polyketide_synthase%2C_type_I|CFW24463|3153-3582|KS2|KS2	CGHK01000020	KS2	c1	Clade_60
2318	CGHK01000020|c1|3628-17307|+|ERS008811_04407|polyketide_synthase%2C_type_I|CFW24463|4017-4448|KS3|KS3	CGHK01000020	KS3	c1	Clade_54
2319	CGHK01000020|c1|3628-17307|+|ERS008811_04407|polyketide_synthase%2C_type_I|CFW24463|797-1221|KS1|KS1	CGHK01000020	KS1	c1	Clade_8
2320	CGHK01000020|c1|49766-54457|+|ERS008811_04410|polyketide_synthase|CFW24477|958-1386|KS1|KS10	CGHK01000020	KS10	c1	Clade_60
2321	CGHK01000024|c1|48120-60506||ERS008811_04830|polyketide_synthase|CFW26238|171-593|KS1|KS2	CGHK01000024	KS2	c1	clade_not_conserved
2322	CGHK01000024|c1|48120-60506||ERS008811_04830|polyketide_synthase|CFW26238|2180-2592|KS2|KS3	CGHK01000024	KS3	c1	Clade_47
2323	CGHK01000024|c1|66036-74573||ERS008811_04836|multifunctional_polyketide-peptide_syntase|CFW26250|917-1361|KS1|KS1	CGHK01000024	KS1	c1	Clade_2
2324	CGHT01000004|c1|53410-61947|+|ERS008800_01351|multifunctional_polyketide-peptide_syntase|CFW43272|917-1361|KS1|KS1	CGHT01000004	KS1	c1	Clade_2
2325	CGHT01000004|c1|67459-79845|+|ERS008800_01357|polyketide_synthase|CFW43290|171-593|KS1|KS2	CGHT01000004	KS2	c1	clade_not_conserved
2326	CGHT01000004|c1|67459-79845|+|ERS008800_01357|polyketide_synthase|CFW43290|2180-2592|KS2|KS3	CGHT01000004	KS3	c1	Clade_47
2327	CGHT01000019|c1|17297-34708|+|ERS008800_04342|polyketide_synthase|CFW50802|2324-2753|KS2|KS5	CGHT01000019	KS5	c1	Clade_62
2328	CGHT01000019|c1|17297-34708|+|ERS008800_04342|polyketide_synthase|CFW50802|3343-3764|KS3|KS6	CGHT01000019	KS6	c1	Clade_82
2329	CGHT01000019|c1|17297-34708|+|ERS008800_04342|polyketide_synthase|CFW50802|5080-5470|KS4|KS7	CGHT01000019	KS7	c1	Clade_80
2330	CGHT01000019|c1|17297-34708|+|ERS008800_04342|polyketide_synthase|CFW50802|831-1252|KS1|KS4	CGHT01000019	KS4	c1	Clade_82
2331	CGHT01000019|c1|34705-49788|+|ERS008800_04343|putative_polyketide_synthase_PksJ|CFW50804|1175-1600|KS1|KS8	CGHT01000019	KS8	c1	clade_not_conserved
2332	CGHT01000019|c1|34705-49788|+|ERS008800_04343|putative_polyketide_synthase_PksJ|CFW50804|2718-3156|KS2|KS9	CGHT01000019	KS9	c1	Clade_12
2333	CGHT01000019|c1|3628-17307|+|ERS008800_04341|polyketide_synthase%2C_type_I|CFW50801|3153-3582|KS2|KS2	CGHT01000019	KS2	c1	Clade_60
2334	CGHT01000019|c1|3628-17307|+|ERS008800_04341|polyketide_synthase%2C_type_I|CFW50801|4017-4448|KS3|KS3	CGHT01000019	KS3	c1	Clade_54
2335	CGHT01000019|c1|3628-17307|+|ERS008800_04341|polyketide_synthase%2C_type_I|CFW50801|797-1221|KS1|KS1	CGHT01000019	KS1	c1	Clade_8
2336	CGHT01000019|c1|49772-54463|+|ERS008800_04344|polyketide_synthase|CFW50805|958-1386|KS1|KS10	CGHT01000019	KS10	c1	Clade_60
2337	CGIB01000019|c1|17194-34590|+|ERS008797_04230|polyketide_synthase|CFW79720|2322-2751|KS2|KS5	CGIB01000019	KS5	c1	Clade_62
2338	CGIB01000019|c1|17194-34590|+|ERS008797_04230|polyketide_synthase|CFW79720|3338-3759|KS3|KS6	CGIB01000019	KS6	c1	Clade_82
2339	CGIB01000019|c1|17194-34590|+|ERS008797_04230|polyketide_synthase|CFW79720|5075-5465|KS4|KS7	CGIB01000019	KS7	c1	Clade_80
2340	CGIB01000019|c1|17194-34590|+|ERS008797_04230|polyketide_synthase|CFW79720|831-1252|KS1|KS4	CGIB01000019	KS4	c1	Clade_82
2341	CGIB01000019|c1|34587-49964|+|ERS008797_04231|putative_polyketide_synthase_PksJ|CFW79721|1175-1600|KS1|KS8	CGIB01000019	KS8	c1	clade_not_conserved
2342	CGIB01000019|c1|34587-49964|+|ERS008797_04231|putative_polyketide_synthase_PksJ|CFW79721|2718-3156|KS2|KS9	CGIB01000019	KS9	c1	Clade_12
2343	CGIB01000019|c1|3609-17204|+|ERS008797_04229|polyketide_synthase%2C_type_I|CFW79719|3153-3582|KS2|KS2	CGIB01000019	KS2	c1	Clade_60
2344	CGIB01000019|c1|3609-17204|+|ERS008797_04229|polyketide_synthase%2C_type_I|CFW79719|3989-4420|KS3|KS3	CGIB01000019	KS3	c1	Clade_54
2345	CGIB01000019|c1|3609-17204|+|ERS008797_04229|polyketide_synthase%2C_type_I|CFW79719|797-1221|KS1|KS1	CGIB01000019	KS1	c1	Clade_8
2346	CGIB01000019|c1|50018-54337|+|ERS008797_04232|polyketide_synthase|CFW79722|834-1262|KS1|KS10	CGIB01000019	KS10	c1	Clade_60
2347	CGIB01000024|c1|47641-56178|+|ERS008797_04808|multifunctional_polyketide-peptide_syntase|CFW80285|917-1361|KS1|KS1	CGIB01000024	KS1	c1	Clade_2
2348	CGIB01000024|c1|67844-74077|+|ERS008797_04819|polyketide_synthase|CFW80296|129-541|KS1|KS2	CGIB01000024	KS2	c1	Clade_47
2349	CH899679|c2|225518-226762||BMA10399_G0327|putative_polyketide_beta-ketoacyl_synthase|EDP85298|9-414|KS1|KS1b	CH899679	KS1b	c2	Clade_89
2350	CH899679|c2|241373-249508|+|BMA10399_G0340|OnnB|EDP85301|1336-1765|KS1|KS1	CH899679	KS1	c2	Clade_60
2351	CH899679|c2|241373-249508|+|BMA10399_G0340|OnnB|EDP85301|2169-2600|KS2|KS2	CH899679	KS2	c2	Clade_54
2352	CH899683|c4|780342-792656||BMA10399_B2230|hypothetical_protein|EDP87128|190-612|KS1|KS2	CH899683	KS2	c4	clade_not_conserved
2353	CH899683|c4|780342-792656||BMA10399_B2230|hypothetical_protein|EDP87128|2159-2571|KS2|KS3	CH899683	KS3	c4	Clade_47
2354	CH899683|c4|798181-806700||BMA10399_B2238|thiotemplate_mechanism_natural_product_synthetase|EDP87425|917-1361|KS1|KS1	CH899683	KS1	c4	Clade_2
2355	CH899695|c1|62422-74727|+|BMA721280_I0698|polyketide_synthase|EDK86137|190-612|KS1|KS1	CH899695	KS1	c1	clade_not_conserved
2356	CH899695|c1|62422-74727|+|BMA721280_I0698|polyketide_synthase|EDK86137|2156-2568|KS2|KS2	CH899695	KS2	c1	Clade_47
2357	CH899718|c2|499631-500875||BURPS1655_I0664|putative_polyketide_beta-ketoacyl_synthase|EDU11056|9-414|KS1|KS1b	CH899718	KS1b	c2	Clade_89
2358	CH899718|c2|508801-522462|+|BURPS1655_I0677|polyketide_synthase_type_I|EDU11068|3160-3589|KS2|KS2	CH899718	KS2	c2	Clade_60
2359	CH899718|c2|508801-522462|+|BURPS1655_I0677|polyketide_synthase_type_I|EDU11068|4011-4442|KS3|KS3	CH899718	KS3	c2	Clade_54
2360	CH899718|c2|508801-522462|+|BURPS1655_I0677|polyketide_synthase_type_I|EDU11068|787-1211|KS1|KS1	CH899718	KS1	c2	Clade_8
2361	CH899718|c2|554114-558790|+|BURPS1655_I0678|polyketide_synthase_type_I|EDU11069|952-1380|KS1|KS4	CH899718	KS4	c2	Clade_60
2362	CH899760|c2|442311-443555||BURPSS13_T0502|putative_polyketide_beta-ketoacyl_synthase|EDS82272|9-414|KS1|KS1b	CH899760	KS1b	c2	Clade_89
2363	CH899760|c2|482999-498136|+|BURPSS13_T0514|non-ribosomal_peptide_synthase|EDS82216|1175-1600|KS1|KS1	CH899760	KS1	c2	clade_not_conserved
2364	CH899760|c2|482999-498136|+|BURPSS13_T0514|non-ribosomal_peptide_synthase|EDS82216|2733-3171|KS2|KS2	CH899760	KS2	c2	Clade_12
2365	CHFB01000005|c1|35727-40388||ERS012315_02347|polyketide_synthase|CPF19636|947-1375|KS1|KS10	CHFB01000005	KS10	c1	Clade_60
2366	CHFB01000005|c1|40372-55524||ERS012315_02348|putative_polyketide_synthase_PksJ|CPF19665|1175-1600|KS1|KS8	CHFB01000005	KS8	c1	clade_not_conserved
2367	CHFB01000005|c1|40372-55524||ERS012315_02348|putative_polyketide_synthase_PksJ|CPF19665|2729-3167|KS2|KS9	CHFB01000005	KS9	c1	Clade_12
2368	CHFB01000005|c1|55521-73331||ERS012315_02349|polyketide_synthase|CPF19696|2389-2818|KS2|KS5	CHFB01000005	KS5	c1	Clade_62
2369	CHFB01000005|c1|55521-73331||ERS012315_02349|polyketide_synthase|CPF19696|3436-3857|KS3|KS6	CHFB01000005	KS6	c1	Clade_82
2370	CHFB01000005|c1|55521-73331||ERS012315_02349|polyketide_synthase|CPF19696|5183-5573|KS4|KS7	CHFB01000005	KS7	c1	Clade_80
2371	CHFB01000005|c1|55521-73331||ERS012315_02349|polyketide_synthase|CPF19696|894-1315|KS1|KS4	CHFB01000005	KS4	c1	Clade_82
2372	CHFB01000005|c1|73321-87066||ERS012315_02350|polyketide_synthase|CPF19726|3146-3575|KS2|KS2	CHFB01000005	KS2	c1	Clade_60
2373	CHFB01000005|c1|73321-87066||ERS012315_02350|polyketide_synthase|CPF19726|4039-4470|KS3|KS3	CHFB01000005	KS3	c1	Clade_54
2374	CHFB01000005|c1|73321-87066||ERS012315_02350|polyketide_synthase|CPF19726|797-1221|KS1|KS1	CHFB01000005	KS1	c1	Clade_8
2375	CHFB01000005|c1|94984-96228|+|ERS012315_02358|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CPF19947|9-414|KS1|KS1b	CHFB01000005	KS1b	c1	Clade_89
2376	CHFB01000020|c1|23443-35847||ERS012315_04991|polyketide_synthase|CPG38130|171-593|KS1|KS2	CHFB01000020	KS2	c1	clade_not_conserved
2377	CHFB01000020|c1|23443-35847||ERS012315_04991|polyketide_synthase|CPG38130|2186-2598|KS2|KS3	CHFB01000020	KS3	c1	Clade_47
2378	CHFB01000020|c1|41380-49878||ERS012315_04997|multifunctional_polyketide-peptide_syntase|CPG38381|910-1354|KS1|KS1	CHFB01000020	KS1	c1	Clade_2
2379	CHFC01000005|c2|256379-257623||ERS012306_02453|polyketide_beta-ketoacylacyl_carrier_protein_synthase|CPF09977|9-414|KS1|KS1b	CHFC01000005	KS1b	c2	Clade_89
2380	CHFC01000005|c2|265541-279259|+|ERS012306_02461|polyketide_synthase|CPF10202|3146-3575|KS2|KS2	CHFC01000005	KS2	c2	Clade_60
2381	CHFC01000005|c2|265541-279259|+|ERS012306_02461|polyketide_synthase|CPF10202|4030-4461|KS3|KS3	CHFC01000005	KS3	c2	Clade_54
2382	CHFC01000005|c2|265541-279259|+|ERS012306_02461|polyketide_synthase|CPF10202|797-1221|KS1|KS1	CHFC01000005	KS1	c2	Clade_8
2383	CHFC01000005|c2|279249-297083|+|ERS012306_02462|polyketide_synthase|CPF10255|2386-2815|KS2|KS5	CHFC01000005	KS5	c2	Clade_62
2384	CHFC01000005|c2|279249-297083|+|ERS012306_02462|polyketide_synthase|CPF10255|3448-3869|KS3|KS6	CHFC01000005	KS6	c2	Clade_82
2385	CHFC01000005|c2|279249-297083|+|ERS012306_02462|polyketide_synthase|CPF10255|5194-5584|KS4|KS7	CHFC01000005	KS7	c2	Clade_80
2386	CHFC01000005|c2|279249-297083|+|ERS012306_02462|polyketide_synthase|CPF10255|891-1312|KS1|KS4	CHFC01000005	KS4	c2	Clade_82
2387	CHFC01000005|c2|297080-312232|+|ERS012306_02463|putative_polyketide_synthase_PksJ|CPF10265|1175-1600|KS1|KS8	CHFC01000005	KS8	c2	clade_not_conserved
2388	CHFC01000005|c2|297080-312232|+|ERS012306_02463|putative_polyketide_synthase_PksJ|CPF10265|2729-3167|KS2|KS9	CHFC01000005	KS9	c2	Clade_12
2389	CHFC01000005|c2|312216-316877|+|ERS012306_02464|polyketide_synthase|CPF10306|947-1375|KS1|KS10	CHFC01000005	KS10	c2	Clade_60
