,macrolactin,mupirocin,psymberin,bongkrekic_acid,diaphorin,dorrigocin_migrastatin,myxopyronin,virginiamycin,lankacidin,FR901464,rhizoxins,difficidin,tolytoxin,anthracimycin,albicidin,bryostatin,OUTGROUP_2hg4|chainA_EryKS5,sorangicin,tartrolon,calyculin,luminaolid,griseoviridin,enacyloxin,9-methylstreptimidone,misakinolide,chlorotonil,thiomarinol,thailanstatin,disorazole,basiliskamides,thailandamide,pederin,nosperin,SIA7248,cycloheximide,OUTGROUP_2qo3|chainA_EryKS3,kirromycin,myxovirescin,leinamycin,chivosazole,kalimantacin_batumin,phormidolide,bacillaene_Bsub,legioliulin,corallopyronin,onnamide,elansolid_Cpin,rhizopodin,oocydin_Smar,oxazolomycin,etnangien,malleilactone
bacillaene_Bsub,0.6993878198996877,0.6993878198996877,0.694080805813408,0.6463017244902551,0.6921008658046996,0.6961853287046873,0.6956065841597715,0.69828059396644,0.7020599104947127,0.6916822481122983,0.6207665673227685,0.6892954260444772,0.688854772914548,0.69828059396644,0.7014681726761128,0.6964065663947401,0.707807770789676,0.6078831349526135,0.69828059396644,0.6592644243668146,0.6899384186687438,0.69828059396644,0.7036924548344589,0.7006377647898823,0.688854772914548,0.6972929699498351,0.6970300893497188,0.6916822481122983,0.6972929699498351,0.7020599104947127,0.6175076081214627,0.6912894299035472,0.693532682229944,0.6930239445537323,0.7006377647898823,0.707807770789676,0.6993878198996877,0.6471036337206295,0.6993878198996877,0.694219828394149,0.6916350578235884,0.6585394709019117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
legioliulin,0.7046027691562766,0.710452026228493,0.6340988494496382,0.7055857873186165,0.7006377647898823,0.707807770789676,0.7020599104947127,0.707807770789676,0.7176009911729295,0.6993878198996877,0.6954186289846114,0.7006377647898823,0.694219828394149,0.7029380120966049,0.7291258480350035,0.7001650254720008,0.7380061590150457,0.7006377647898823,0.7029380120966049,0.6929536597167267,0.6948809744532874,0.707807770789676,0.7225990720799419,0.7136514186194016,0.6558927744280878,0.6972929699498351,0.710452026228493,0.6993878198996877,0.7014681726761128,0.7176009911729295,0.6954186289846114,0.69828059396644,0.7055857873186165,0.7001650254720008,0.7136514186194016,0.7380061590150457,0.6014924921101832,0.7001650254720008,0.710452026228493,0.6399513151785716,0.7014681726761128,0.6954186289846114,0.7020599104947127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
corallopyronin,0.6940755130480003,0.69828059396644,0.6934940721742131,0.6964065663947401,0.694219828394149,0.6972929699498351,0.18617934695633087,0.6972929699498351,0.6979649053674104,0.693614922218118,0.6915619552477021,0.6929536597167267,0.6893724892419726,0.6954186289846114,0.7036924548344589,0.694080805813408,0.7055857873186165,0.694219828394149,0.693532682229944,0.690110321461775,0.6896474991784046,0.6972929699498351,0.7020599104947127,0.6993878198996877,0.6893724892419726,0.6947199405340547,0.69828059396644,0.693614922218118,0.691318526397686,0.7006377647898823,0.6925473794712566,0.6930593737250758,0.6964065663947401,0.6956065841597715,0.6993878198996877,0.7055857873186165,0.6961853287046873,0.694080805813408,0.6940755130480003,0.6912894299035472,0.6947199405340547,0.6915619552477021,0.6948809744532874,0.6979649053674104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
onnamide,0.6972929699498351,0.6954186289846114,0.515245783187479,0.694080805813408,0.4110103257659594,0.6964065663947401,0.694219828394149,0.6964065663947401,0.6993878198996877,0.6887665673227685,0.6874850347779096,0.6912894299035472,0.6877273915497557,0.6964065663947401,0.7020599104947127,0.6501053571748358,0.7036924548344589,0.6912894299035472,0.6947199405340547,0.6040386193221832,0.6878915503919947,0.6964065663947401,0.7006377647898823,0.69828059396644,0.6877273915497557,0.6956065841597715,0.6954186289846114,0.6887665673227685,0.6956065841597715,0.6970300893497188,0.6902465628133245,0.38504978725214056,0.5487641793270199,0.6934940721742131,0.69828059396644,0.7036924548344589,0.6972929699498351,0.6529235489120622,0.6972929699498351,0.6930593737250758,0.6910062667975787,0.6569938477957138,0.6916822481122983,0.6993878198996877,0.693614922218118,0.0,0.0,0.0,0.0,0.0,0.0,0
elansolid_Cpin,0.6940755130480003,0.6919510459523746,0.6948809744532874,0.6930239445537323,0.694219828394149,0.693532682229944,0.6948809744532874,0.6972929699498351,0.7006377647898823,0.6912894299035472,0.6905733726158743,0.687836338189008,0.6624790541257725,0.6972929699498351,0.6965956033958567,0.694080805813408,0.7055857873186165,0.6904055718710518,0.6954186289846114,0.6886329002796185,0.6624474991784046,0.6972929699498351,0.6990041413555677,0.6970300893497188,0.6893724892419726,0.6964065663947401,0.6940755130480003,0.6912894299035472,0.6964065663947401,0.6925473794712566,0.689581621452678,0.6919917552299188,0.6964065663947401,0.694080805813408,0.6970300893497188,0.7055857873186165,0.6961853287046873,0.6925473794712566,0.6961853287046873,0.6924543740660734,0.6947199405340547,0.6905733726158743,0.6907013266898399,0.7006377647898823,0.694219828394149,0.693614922218118,0.0,0.0,0.0,0.0,0.0,0
rhizopodin,0.69828059396644,0.6961853287046873,0.6934940721742131,0.6964065663947401,0.6929536597167267,0.6972929699498351,0.6921008658046996,0.6954186289846114,0.7006377647898823,0.693614922218118,0.6905733726158743,0.694219828394149,0.6617377042381485,0.6954186289846114,0.7036924548344589,0.6956065841597715,0.7055857873186165,0.694219828394149,0.6972929699498351,0.6886329002796185,0.660860021808205,0.6954186289846114,0.7020599104947127,0.6993878198996877,0.6624790541257725,0.6947199405340547,0.6961853287046873,0.693614922218118,0.6930239445537323,0.7006377647898823,0.6925473794712566,0.6919917552299188,0.6947199405340547,0.6925473794712566,0.6993878198996877,0.7055857873186165,0.69828059396644,0.694080805813408,0.6961853287046873,0.6537680545221237,0.6964065663947401,0.6915619552477021,0.6948809744532874,0.7006377647898823,0.6916822481122983,0.6924543740660734,0.694219828394149,0.0,0.0,0.0,0.0,0
oocydin_Smar,0.6956065841597715,0.694080805813408,0.6553030649611571,0.6546160981868412,0.620820823124622,0.6934940721742131,0.6930593737250758,0.6948809744532874,0.6972929699498351,0.6893287755217459,0.6880600218082049,0.689581621452678,0.6874127920159802,0.6948809744532874,0.6993878198996877,0.6901200730790051,0.7006377647898823,0.6576776006934821,0.6948809744532874,0.6112461179686981,0.6875677664288375,0.6948809744532874,0.69828059396644,0.6964065663947401,0.6874127920159802,0.694219828394149,0.6925473794712566,0.6893287755217459,0.694219828394149,0.6972929699498351,0.660860021808205,0.6265254329761385,0.6916822481122983,0.6912894299035472,0.6964065663947401,0.7006377647898823,0.6956065841597715,0.6549462868778377,0.6956065841597715,0.6920740114037577,0.6891236091932801,0.5596123392824415,0.6196840173421095,0.6972929699498351,0.6925473794712566,0.6579198173866052,0.6905733726158743,0.6915619552477021,0.0,0.0,0.0,0
oxazolomycin,0.6993878198996877,0.6993878198996877,0.694080805813408,0.6954186289846114,0.6934940721742131,0.69828059396644,0.6525473794712566,0.6940755130480003,0.6959170312678201,0.6929536597167267,0.6919917552299188,0.6921008658046996,0.6864644243668145,0.6961853287046873,0.7055857873186165,0.6947199405340547,0.707807770789676,0.6921008658046996,0.69828059396644,0.688854772914548,0.6865170840199715,0.6940755130480003,0.7036924548344589,0.7006377647898823,0.687263240687367,0.6954186289846114,0.6993878198996877,0.6929536597167267,0.6481993488966107,0.7020599104947127,0.6898453649675699,0.6924543740660734,0.6954186289846114,0.6964065663947401,0.7006377647898823,0.707807770789676,0.6970300893497188,0.6964065663947401,0.6946538668898596,0.6916822481122983,0.6954186289846114,0.6919917552299188,0.6925473794712566,0.7020599104947127,0.6543230880269219,0.6929536597167267,0.6948809744532874,0.6934940721742131,0.6585394709019117,0.0,0.0,0
etnangien,0.6961853287046873,0.6961853287046873,0.6921008658046996,0.648818526397686,0.6916822481122983,0.6916350578235884,0.6948809744532874,0.6972929699498351,0.7006377647898823,0.6572894299035473,0.6905733726158743,0.6891236091932801,0.690110321461775,0.6972929699498351,0.7036924548344589,0.6510062667975787,0.7055857873186165,0.6109881813220633,0.693532682229944,0.6327484353864234,0.6904382057586065,0.6972929699498351,0.7020599104947127,0.6946538668898596,0.6893724892419726,0.6964065663947401,0.6940755130480003,0.6572894299035473,0.6947199405340547,0.6925473794712566,0.6905733726158743,0.6909204232828641,0.6947199405340547,0.6925473794712566,0.6946538668898596,0.7055857873186165,0.6940755130480003,0.6013364245418382,0.6961853287046873,0.6912894299035472,0.6878792138864698,0.6566794819683781,0.6515176482666994,0.6979649053674104,0.6929536597167267,0.6924543740660734,0.687836338189008,0.694219828394149,0.6576776006934821,0.6934940721742131,0.0,0
malleilactone,0.7176009911729295,0.7176009911729295,0.7055857873186165,0.710452026228493,0.7036924548344589,0.7136514186194016,0.7055857873186165,0.7064930723088361,0.7291258480350035,0.6990041413555677,0.6970300893497188,0.7001650254720008,0.694080805813408,0.7136514186194016,0.7176009911729295,0.707807770789676,0.7707099806163874,0.7001650254720008,0.7136514186194016,0.694080805813408,0.6964065663947401,0.7064930723088361,0.7380061590150457,0.7225990720799419,0.694080805813408,0.710452026228493,0.7176009911729295,0.6990041413555677,0.710452026228493,0.7291258480350035,0.6970300893497188,0.7006377647898823,0.710452026228493,0.707807770789676,0.7225990720799419,0.7707099806163874,0.7176009911729295,0.707807770789676,0.7176009911729295,0.7020599104947127,0.710452026228493,0.6993878198996877,0.7014681726761128,0.7291258480350035,0.7036924548344589,0.7020599104947127,0.7001650254720008,0.7036924548344589,0.6993878198996877,0.7014681726761128,0.7036924548344589,0
